id,school_code,name,type,region,source
u-mext-F106310101225,F106310101225,東北文教大学,private,東北,mext
u-mext-F106310101234,F106310101234,電動モビリティシステム専門職大学,private,東北,mext
u-mext-F107110101273,F107110101273,福島大学,national,東北,mext
u-mext-F107210101280,F107210101280,福島県立医科大学,public,東北,mext
u-mext-F107210101299,F107210101299,会津大学,public,東北,mext
u-mext-F107310101304,F107310101304,郡山女子大学,private,東北,mext
u-mext-F107310101313,F107310101313,奥羽大学,private,東北,mext
u-mext-F107310101322,F107310101322,医療創生大学,private,東北,mext
u-mext-F107310101331,F107310101331,東日本国際大学,private,東北,mext
u-mext-F107310101340,F107310101340,福島学院大学,private,東北,mext
u-mext-F108110101414,F108110101414,茨城大学,national,関東,mext
u-mext-F108110101423,F108110101423,筑波大学,national,関東,mext
u-mext-F108110101432,F108110101432,筑波技術大学,national,関東,mext
u-mext-F108210101449,F108210101449,茨城県立医療大学,public,関東,mext
u-mext-F108310101456,F108310101456,茨城キリスト教大学,private,関東,mext
u-mext-F108310101465,F108310101465,流通経済大学,private,関東,mext
u-mext-F108310101474,F108310101474,常磐大学,private,関東,mext
u-mext-F108310101483,F108310101483,つくば国際大学,private,関東,mext
u-mext-F108310101492,F108310101492,日本国際学園大学,private,関東,mext
u-mext-F108310101508,F108310101508,日本ウェルネススポーツ大学,private,関東,mext
u-mext-F108310111971,F108310111971,アール医療専門職大学,private,関東,mext
u-mext-F109110101556,F109110101556,宇都宮大学,national,関東,mext
u-mext-F109310101561,F109310101561,足利大学,private,関東,mext
u-mext-F109310101570,F109310101570,白鴎大学,private,関東,mext
u-mext-F109310101589,F109310101589,作新学院大学,private,関東,mext
u-mext-F109310101598,F109310101598,国際医療福祉大学,private,関東,mext
u-mext-F109310101605,F109310101605,宇都宮共和大学,private,関東,mext
u-mext-F109310101614,F109310101614,文星芸術大学,private,関東,mext
u-mext-F109310101623,F109310101623,自治医科大学,private,関東,mext
u-mext-F109310101632,F109310101632,獨協医科大学,private,関東,mext
u-mext-F110110101713,F110110101713,群馬大学,national,関東,mext
u-mext-F110210101720,F110210101720,高崎経済大学,public,関東,mext
u-mext-F110210101739,F110210101739,前橋工科大学,public,関東,mext
u-mext-F110210101748,F110210101748,群馬県立女子大学,public,関東,mext
u-mext-F110210101757,F110210101757,群馬県立県民健康科学大学,public,関東,mext
u-mext-F110310101764,F110310101764,育英大学,private,関東,mext
u-mext-F110310101773,F110310101773,桐生大学,private,関東,mext
u-mext-F110310101782,F110310101782,群馬パース大学,private,関東,mext
u-mext-F110310101791,F110310101791,群馬医療福祉大学,private,関東,mext
u-mext-F110310101808,F110310101808,高崎健康福祉大学,private,関東,mext
u-mext-F110310101817,F110310101817,高崎商科大学,private,関東,mext
u-mext-F110310101826,F110310101826,上武大学,private,関東,mext
u-mext-F110310101835,F110310101835,関東学園大学,private,関東,mext
u-mext-F110310101844,F110310101844,共愛学園前橋国際大学,private,関東,mext
u-mext-F110310102843,F110310102843,東京福祉大学,private,関東,mext
u-mext-F111110101945,F111110101945,埼玉大学,national,関東,mext
u-mext-F111210101952,F111210101952,埼玉県立大学,public,関東,mext
u-mext-F111310101969,F111310101969,日本医療科学大学,private,関東,mext
u-mext-F111310101978,F111310101978,日本薬科大学,private,関東,mext
u-mext-F111310101987,F111310101987,武蔵野学院大学,private,関東,mext
u-mext-F111310101996,F111310101996,浦和大学,private,関東,mext
u-mext-F111310102003,F111310102003,ものつくり大学,private,関東,mext
u-mext-F111310102012,F111310102012,共栄大学,private,関東,mext
u-mext-F111310102021,F111310102021,埼玉学園大学,private,関東,mext
u-mext-F111310102030,F111310102030,尚美学園大学,private,関東,mext
u-mext-F111310102049,F111310102049,人間総合科学大学,private,関東,mext
u-mext-F111310102058,F111310102058,西武文理大学,private,関東,mext
u-mext-F111310102067,F111310102067,十文字学園女子大学,private,関東,mext
u-mext-F111310102076,F111310102076,平成国際大学,private,関東,mext
u-mext-F111310102094,F111310102094,城西大学,private,関東,mext
u-mext-F111310102101,F111310102101,東邦音楽大学,private,関東,mext
u-mext-F111310102110,F111310102110,獨協大学,private,関東,mext
u-mext-F111310102129,F111310102129,日本工業大学,private,関東,mext
u-mext-F111310102138,F111310102138,明海大学,private,関東,mext
u-mext-F111310102147,F111310102147,埼玉医科大学,private,関東,mext
u-mext-F111310102156,F111310102156,埼玉工業大学,private,関東,mext
u-mext-F111310102165,F111310102165,駿河台大学,private,関東,mext
u-mext-F111310102174,F111310102174,聖学院大学,private,関東,mext
u-mext-F111310102183,F111310102183,女子栄養大学,private,関東,mext
u-mext-F111310102192,F111310102192,東都大学,private,関東,mext
u-mext-F111310102209,F111310102209,日本保健医療大学,private,関東,mext
u-mext-F111310102860,F111310102860,文教大学,private,関東,mext
u-mext-F111310112047,F111310112047,教育テック大学院大学,private,関東,mext
u-mext-F112110102337,F112110102337,千葉大学,national,関東,mext
u-mext-F112210102353,F112210102353,千葉県立保健医療大学,public,関東,mext
u-mext-F112310102342,F112310102342,放送大学,private,関東,mext
u-mext-F112310102360,F112310102360,千葉科学大学,private,関東,mext
u-mext-F112310102379,F112310102379,愛国学園大学,private,関東,mext
u-mext-F112310102388,F112310102388,開智国際大学,private,関東,mext
u-mext-F112310102397,F112310102397,清和大学,private,関東,mext
u-mext-F112310102404,F112310102404,城西国際大学,private,関東,mext
u-mext-F112310102413,F112310102413,淑徳大学,private,関東,mext
u-mext-F112310102422,F112310102422,敬愛大学,private,関東,mext
u-mext-F112310102431,F112310102431,千葉工業大学,private,関東,mext
u-mext-F112310102440,F112310102440,千葉商科大学,private,関東,mext
u-mext-F112310102459,F112310102459,中央学院大学,private,関東,mext
u-mext-F112310102468,F112310102468,麗澤大学,private,関東,mext
u-mext-F112310102477,F112310102477,和洋女子大学,private,関東,mext
u-mext-F112310102486,F112310102486,国際武道大学,private,関東,mext
u-mext-F112310102495,F112310102495,神田外語大学,private,関東,mext
u-mext-F112310102501,F112310102501,千葉経済大学,private,関東,mext
u-mext-F112310102510,F112310102510,秀明大学,private,関東,mext
u-mext-F112310102529,F112310102529,川村学園女子大学,private,関東,mext
u-mext-F112310102538,F112310102538,東京情報大学,private,関東,mext
u-mext-F112310102547,F112310102547,東京基督教大学,private,関東,mext
u-mext-F112310102556,F112310102556,聖徳大学,private,関東,mext
u-mext-F112310102565,F112310102565,江戸川大学,private,関東,mext
u-mext-F112310102574,F112310102574,ＳＢＣ東京医療大学,private,関東,mext
u-mext-F112310102583,F112310102583,植草学園大学,private,関東,mext
u-mext-F112310102592,F112310102592,三育学院大学,private,関東,mext
u-mext-F112310102609,F112310102609,亀田医療大学,private,関東,mext
u-mext-F113110102700,F113110102700,東京大学,national,関東,mext
u-mext-F113110102728,F113110102728,東京外国語大学,national,関東,mext
u-mext-F113110102737,F113110102737,東京芸術大学,national,関東,mext
u-mext-F113110102755,F113110102755,お茶の水女子大学,national,関東,mext
u-mext-F113110102764,F113110102764,東京学芸大学,national,関東,mext
u-mext-F113110102773,F113110102773,東京農工大学,national,関東,mext
u-mext-F113110102782,F113110102782,電気通信大学,national,関東,mext
u-mext-F113110102791,F113110102791,一橋大学,national,関東,mext
u-mext-F113110102808,F113110102808,政策研究大学院大学,national,関東,mext
u-mext-F113110102817,F113110102817,東京海洋大学,national,関東,mext
u-mext-F113110112030,F113110112030,東京科学大学,national,関東,mext
u-mext-F113210102824,F113210102824,東京都立大学,public,関東,mext
u-mext-F113210102833,F113210102833,東京都立産業技術大学院大学,public,関東,mext
u-mext-F113310102859,F113310102859,跡見学園女子大学,private,関東,mext
u-mext-F113310102877,F113310102877,文京学院大学,private,関東,mext
u-mext-F113310102886,F113310102886,目白大学,private,関東,mext
u-mext-F113310102895,F113310102895,東京成徳大学,private,関東,mext
u-mext-F113310102902,F113310102902,東洋学園大学,private,関東,mext
u-mext-F113310102911,F113310102911,帝京平成大学,private,関東,mext
u-mext-F113310102920,F113310102920,青山学院大学,private,関東,mext
u-mext-F113310102939,F113310102939,上野学園大学,private,関東,mext
u-mext-F113310102948,F113310102948,大妻女子大学,private,関東,mext
u-mext-F113310102957,F113310102957,学習院大学,private,関東,mext
u-mext-F113310102966,F113310102966,北里大学,private,関東,mext
u-mext-F113310102975,F113310102975,共立女子大学,private,関東,mext
u-mext-F113310102984,F113310102984,慶應義塾大学,private,関東,mext
u-mext-F113310102993,F113310102993,工学院大学,private,関東,mext
u-mext-F113310103000,F113310103000,國學院大學,private,関東,mext
u-mext-F113310103019,F113310103019,国士舘大学,private,関東,mext
u-mext-F113310103028,F113310103028,駒澤大学,private,関東,mext
u-mext-F113310103037,F113310103037,実践女子大学,private,関東,mext
u-mext-F113310103046,F113310103046,芝浦工業大学,private,関東,mext
u-mext-F113310103055,F113310103055,順天堂大学,private,関東,mext
u-mext-F113310103064,F113310103064,上智大学,private,関東,mext
u-mext-F113310103073,F113310103073,昭和大学,private,関東,mext
u-mext-F113310103082,F113310103082,昭和女子大学,private,関東,mext
u-mext-F113310103091,F113310103091,昭和薬科大学,private,関東,mext
u-mext-F113310103108,F113310103108,女子美術大学,private,関東,mext
